zip_code,min_medicare_pricing_for_new_patient,max_medicare_pricing_for_new_patient,mode_medicare_pricing_for_new_patient,min_copay_for_new_patient,max_copay_for_new_patient,mode_copay_for_new_patient,most_utilized_procedure_code_for_new_patient,min_medicare_pricing_for_established_patient,max_medicare_pricing_for_established_patient,mode_medicare_pricing_for_established_patient,min_copay_for_established_patient,max_copay_for_established_patient,mode_copay_for_established_patient,most_utilized_procedure_code_for_established_patient
00769,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00771,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00772,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00773,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00775,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00777,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00778,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00780,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00782,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00783,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00784,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00785,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00786,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00791,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00792,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00794,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00795,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00801,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00802,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00803,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00804,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00805,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00820,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00821,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00822,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00823,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00824,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00830,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00831,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00840,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00841,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00850,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00851,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00901,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00902,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00905,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00906,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00907,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
00908,56.864,172.448,172.448,14.216,43.112,43.112,99205,18.248,140.44,140.44,4.562,35.11,35.11,99215
